id,network,perspective,name,title,organization,country,experience,last_updated
38667,Dialectica,Competitor,Danielle Porter,Chief Executive Officer,Henderson PLC,Switzerland,"[""[{\""id\"": \""88b35927-4359-4662-9b14-9dbd0b3b6ad6\"", \""title\"": \""Aid worker\"", \""company\"": \""Moore Group\"", \""duration\"": \""2 years\""}]"", ""[{\""id\"": \""23660ef6-b491-4727-8f56-cb885b6c7de8\"", \""title\"": \""Wellsite geologist\"", \""company\"": \""Turner-Khan\"", \""duration\"": \""4 years\""}]"", ""[{\""id\"": \""9090bbf2-812a-4e4d-a2d1-2ad10c120712\"", \""title\"": \""Pharmacist, community\"", \""company\"": \""Mcfarland and Sons\"", \""duration\"": \""1 years\""}]"", ""[{\""id\"": \""e0bb80f0-ed2e-4e4c-8c59-2f6c233b74e9\"", \""title\"": \""Sales professional, IT\"", \""company\"": \""Smith-Grimes\"", \""duration\"": \""5 years\""}]""]",2024-09-10T17:02:57.918025
19592,Third Bridge,Former,Dana Adkins,Futures trader,"Hale, Graham and Flores",United Kingdom,"[""[{\""id\"": \""b2b15580-1415-448f-837e-9f9e7c46d9a1\"", \""title\"": \""Operational researcher\"", \""company\"": \""Brown PLC\"", \""duration\"": \""1 years\""}]"", ""[{\""id\"": \""997a9700-be8a-4d6e-9147-7fcbea3bf5c7\"", \""title\"": \""Surgeon\"", \""company\"": \""Rosales LLC\"", \""duration\"": \""5 years\""}]"", ""[{\""id\"": \""79694f48-dd51-4499-aec2-b2c8826b01ed\"", \""title\"": \""Radiographer, therapeutic\"", \""company\"": \""Carpenter, Duarte and Peterson\"", \""duration\"": \""10 years\""}]"", ""[{\""id\"": \""4e6536cd-5b63-4cc3-83e3-a034ed86d2fc\"", \""title\"": \""Clinical research associate\"", \""company\"": \""Salazar, Payne and Williams\"", \""duration\"": \""5 years\""}]""]",2024-09-10T17:02:57.933623
33253,Third Bridge,Customer,Tammy Clark,Geophysical data processor,Melton Group,Denmark,"[""[{\""id\"": \""f6b616c7-78d1-4c0f-9eef-998193167496\"", \""title\"": \""Photographer\"", \""company\"": \""Simmons Ltd\"", \""duration\"": \""1 years\""}]"", ""[{\""id\"": \""cfdbca08-3d9f-448e-81d7-613fdbbd90f1\"", \""title\"": \""Accountant, chartered management\"", \""company\"": \""Spencer-Ross\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""82b4c321-3615-4d33-9443-28879a99fb80\"", \""title\"": \""Engineer, land\"", \""company\"": \""Jacobs, Jenkins and Romero\"", \""duration\"": \""2 years\""}]"", ""[{\""id\"": \""340098c6-7f70-4a59-aaff-f4d719661d57\"", \""title\"": \""Psychologist, forensic\"", \""company\"": \""Sutton-Ellis\"", \""duration\"": \""8 years\""}]"", ""[{\""id\"": \""4179c80d-cf3c-449c-8814-f469687b182b\"", \""title\"": \""Food technologist\"", \""company\"": \""Miller, Richardson and Myers\"", \""duration\"": \""4 years\""}]""]",2024-09-10T17:02:57.933623
86268,AlphaSights,Former,John Raymond,Sport and exercise psychologist,"Peters, Chavez and Martin",Austria,"[""[{\""id\"": \""f584b556-5b86-40a6-ba1f-ea369528b77f\"", \""title\"": \""Historic buildings inspector/conservation officer\"", \""company\"": \""Fitzgerald, Patel and Carroll\"", \""duration\"": \""2 years\""}]"", ""[{\""id\"": \""b49f1fdf-88ef-43ee-b026-fd95bf61e2ab\"", \""title\"": \""Marine scientist\"", \""company\"": \""Adams, Colon and Hill\"", \""duration\"": \""7 years\""}]"", ""[{\""id\"": \""02ed8f9d-6f15-40a0-a472-6f4a51a0cb59\"", \""title\"": \""Technical brewer\"", \""company\"": \""Fitzpatrick, Morgan and Barry\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""ce429c35-34af-4939-89bc-593429c60a20\"", \""title\"": \""Politician's assistant\"", \""company\"": \""Roberts, Howard and Carter\"", \""duration\"": \""10 years\""}]"", ""[{\""id\"": \""3c4d5665-afd5-4df4-98ec-1c7811f6a741\"", \""title\"": \""Ophthalmologist\"", \""company\"": \""Baldwin and Sons\"", \""duration\"": \""8 years\""}]"", ""[{\""id\"": \""37a06da6-6a07-4e4a-93a7-27a088068d0e\"", \""title\"": \""Field seismologist\"", \""company\"": \""Perez, Anderson and Frazier\"", \""duration\"": \""7 years\""}]""]",2024-09-10T17:02:57.933623
5582,Guidepoint,Former,Mason Haas,Proofreader,"Gilmore, Thomas and Hernandez",Portugal,"[""[{\""id\"": \""9e85f563-ea38-48a6-b7e6-77ff62777297\"", \""title\"": \""Adult nurse\"", \""company\"": \""Ayala, Smith and Rogers\"", \""duration\"": \""3 years\""}]"", ""[{\""id\"": \""cc8d5c61-a9ee-4bab-b310-bc42cbf05640\"", \""title\"": \""Psychologist, counselling\"", \""company\"": \""Gonzalez-Thompson\"", \""duration\"": \""7 years\""}]"", ""[{\""id\"": \""bc66484f-15e4-42d1-bbf0-5b67e25c6f93\"", \""title\"": \""Occupational hygienist\"", \""company\"": \""Johnson Ltd\"", \""duration\"": \""7 years\""}]"", ""[{\""id\"": \""c545df22-18f7-4459-846a-092724fe6524\"", \""title\"": \""Ranger/warden\"", \""company\"": \""Carney Inc\"", \""duration\"": \""10 years\""}]"", ""[{\""id\"": \""62d5102a-97b5-4b25-a6d5-6fc293e2fb54\"", \""title\"": \""Furniture conservator/restorer\"", \""company\"": \""Williams Group\"", \""duration\"": \""4 years\""}]"", ""[{\""id\"": \""1ae7c87a-61a0-4475-baf8-a8c86c057f64\"", \""title\"": \""Software engineer\"", \""company\"": \""Collins, Washington and Osborne\"", \""duration\"": \""4 years\""}]"", ""[{\""id\"": \""99f81ada-d05c-4b6b-84c8-8ace552693a4\"", \""title\"": \""Arts administrator\"", \""company\"": \""Herrera and Sons\"", \""duration\"": \""2 years\""}]"", ""[{\""id\"": \""cb0e4388-5b66-4bc8-879b-c518bd56b523\"", \""title\"": \""Technical sales engineer\"", \""company\"": \""Clark-Lawrence\"", \""duration\"": \""4 years\""}]""]",2024-09-10T17:02:57.933623
60930,Guidepoint,Customer,Jonathan Jacobs,Garment/textile technologist,Harris-Wyatt,Spain,"[""[{\""id\"": \""47d276f2-3169-4807-99c1-db0ea67a7038\"", \""title\"": \""Psychologist, educational\"", \""company\"": \""Gibson Ltd\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""8cd5a489-e6b4-49aa-b609-aac448c8c1b9\"", \""title\"": \""Tourist information centre manager\"", \""company\"": \""Daugherty, Ortiz and Owens\"", \""duration\"": \""8 years\""}]"", ""[{\""id\"": \""aeac02ba-4e4e-439f-b824-8f3e9d9a15b9\"", \""title\"": \""Science writer\"", \""company\"": \""Horton-Medina\"", \""duration\"": \""6 years\""}]"", ""[{\""id\"": \""8112050a-9986-47bf-a40b-fac299a0cdcf\"", \""title\"": \""Personnel officer\"", \""company\"": \""Roberts, Chandler and Butler\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""d5b93711-7f79-412b-ac87-0e36ba0bea5f\"", \""title\"": \""Engineer, energy\"", \""company\"": \""Hill, Dawson and Sanchez\"", \""duration\"": \""2 years\""}]""]",2024-09-10T17:02:57.933623
93473,Guidepoint,Competitor,Lauren Wong,Forensic scientist,"Johnson, Hale and Nelson",Malta,"[""[{\""id\"": \""39aa9399-63ee-480d-b784-aacebc1cb969\"", \""title\"": \""Sales professional, IT\"", \""company\"": \""Phillips, Davis and Stevenson\"", \""duration\"": \""4 years\""}]"", ""[{\""id\"": \""9e2be26b-1300-4c29-962d-21af9a0a87d3\"", \""title\"": \""Clinical embryologist\"", \""company\"": \""Moreno Group\"", \""duration\"": \""4 years\""}]"", ""[{\""id\"": \""a2b77dc5-0aba-4665-8445-db77a6710e32\"", \""title\"": \""Editor, commissioning\"", \""company\"": \""Howe-Chandler\"", \""duration\"": \""2 years\""}]"", ""[{\""id\"": \""c75edbc9-0f10-4d29-903e-5a3b626626ac\"", \""title\"": \""Special educational needs teacher\"", \""company\"": \""Fisher and Sons\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""f0f05098-b7db-4152-aac0-c2771222f165\"", \""title\"": \""Surveyor, rural practice\"", \""company\"": \""Meyer LLC\"", \""duration\"": \""4 years\""}]"", ""[{\""id\"": \""e4652a6e-5cc2-40ab-b763-fa1a4a7ac639\"", \""title\"": \""Teacher, primary school\"", \""company\"": \""Turner, Lara and Barry\"", \""duration\"": \""5 years\""}]"", ""[{\""id\"": \""dcd61695-15ba-4f7c-bf50-26f9c362572a\"", \""title\"": \""Archivist\"", \""company\"": \""Carr Group\"", \""duration\"": \""8 years\""}]"", ""[{\""id\"": \""d06d8b61-3400-466c-b0e4-8cbf68c5a45b\"", \""title\"": \""Designer, television/film set\"", \""company\"": \""Reyes-Cabrera\"", \""duration\"": \""9 years\""}]""]",2024-09-10T17:02:57.933623
6366,Third Bridge,Competitor,Kelly Spencer,Event organiser,Wilson and Sons,Netherlands,"[""[{\""id\"": \""c349dfd0-acb0-48eb-a630-ba65c1aae6c3\"", \""title\"": \""Armed forces technical officer\"", \""company\"": \""Coleman-Freeman\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""46c1df83-80d4-4326-9323-7d53f37bb47e\"", \""title\"": \""Publishing rights manager\"", \""company\"": \""Rubio Inc\"", \""duration\"": \""6 years\""}]"", ""[{\""id\"": \""f21f815e-3b3b-440f-8d6a-b56c223d7acf\"", \""title\"": \""Investment banker, corporate\"", \""company\"": \""Morris-Kennedy\"", \""duration\"": \""6 years\""}]"", ""[{\""id\"": \""df349023-f125-479f-b1d9-5c866907e8f7\"", \""title\"": \""Architectural technologist\"", \""company\"": \""Gordon, Moyer and Chandler\"", \""duration\"": \""6 years\""}]"", ""[{\""id\"": \""7a80c042-72f6-4537-8693-59a1980e14f3\"", \""title\"": \""Medical technical officer\"", \""company\"": \""Carey, Travis and Simpson\"", \""duration\"": \""8 years\""}]""]",2024-09-10T17:02:57.933623
72447,Dialectica,Competitor,Christopher King,Neurosurgeon,"Marshall, Jackson and Solis",Germany,"[""[{\""id\"": \""332130d4-1102-4b6f-a81e-e7ea1d545b34\"", \""title\"": \""Teacher, English as a foreign language\"", \""company\"": \""Johnson, Munoz and Jones\"", \""duration\"": \""1 years\""}]"", ""[{\""id\"": \""1a566ef8-0c74-4890-b4ff-ec9360c7dc7a\"", \""title\"": \""Nurse, mental health\"", \""company\"": \""Boyd, Caldwell and Francis\"", \""duration\"": \""7 years\""}]"", ""[{\""id\"": \""70e97e97-b73b-465e-82b0-a05338edb191\"", \""title\"": \""Copy\"", \""company\"": \""Carpenter Group\"", \""duration\"": \""9 years\""}]""]",2024-09-10T17:02:57.933623
99107,Third Bridge,Customer,Raven Chavez,Dentist,"Bray, Mendoza and Rodgers",Austria,"[""[{\""id\"": \""243ecc81-1971-477f-98f4-66c9aa97223e\"", \""title\"": \""Research officer, government\"", \""company\"": \""White-Walker\"", \""duration\"": \""5 years\""}]"", ""[{\""id\"": \""4fd066c4-7ee8-4f01-a090-775dd6f1ed34\"", \""title\"": \""Surveyor, commercial/residential\"", \""company\"": \""Conway-Scott\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""ca845c38-34c7-43a9-8cbe-260769c332ea\"", \""title\"": \""Retail buyer\"", \""company\"": \""Doyle Group\"", \""duration\"": \""5 years\""}]"", ""[{\""id\"": \""51251347-db48-4906-964b-1bc87f396717\"", \""title\"": \""Barrister\"", \""company\"": \""Hall, Harris and Rose\"", \""duration\"": \""6 years\""}]"", ""[{\""id\"": \""a703e58f-2099-40ef-bfad-3160a2101b7f\"", \""title\"": \""Ranger/warden\"", \""company\"": \""Clark, Flynn and Neal\"", \""duration\"": \""6 years\""}]"", ""[{\""id\"": \""c379d674-e453-4512-9db3-090eb21390f2\"", \""title\"": \""Programmer, applications\"", \""company\"": \""Vargas-Cummings\"", \""duration\"": \""5 years\""}]"", ""[{\""id\"": \""66d1a8c9-9e2c-44d7-a30a-699a11fa5a5e\"", \""title\"": \""Leisure centre manager\"", \""company\"": \""Murphy, Wood and Serrano\"", \""duration\"": \""4 years\""}]""]",2024-09-10T17:02:57.933623
29189,Guidepoint,Competitor,Michael Blevins,Theatre director,"Montgomery, Edwards and Williams",Ireland,"[""[{\""id\"": \""a474a00b-888b-4e2d-95e0-dfffc97aeab9\"", \""title\"": \""Artist\"", \""company\"": \""Hammond-Foster\"", \""duration\"": \""8 years\""}]"", ""[{\""id\"": \""8546d478-6d09-4502-baf0-a9c40a3ab580\"", \""title\"": \""Investment banker, operational\"", \""company\"": \""Mcpherson-Davis\"", \""duration\"": \""4 years\""}]"", ""[{\""id\"": \""3a42b542-3dd7-4dd2-b4c0-ee8d41da508e\"", \""title\"": \""Sports coach\"", \""company\"": \""Stanley, Cooper and Foster\"", \""duration\"": \""1 years\""}]"", ""[{\""id\"": \""7c2a949b-577e-4ead-b7d0-9c1afa8d5454\"", \""title\"": \""Accountant, chartered public finance\"", \""company\"": \""Torres-Miller\"", \""duration\"": \""7 years\""}]"", ""[{\""id\"": \""4f142c5d-ab7e-4368-bdb2-1320a7769782\"", \""title\"": \""Textile designer\"", \""company\"": \""Wood-Livingston\"", \""duration\"": \""4 years\""}]"", ""[{\""id\"": \""526d8360-1f94-4f81-b990-490c493a2e8f\"", \""title\"": \""Psychiatric nurse\"", \""company\"": \""Hull, Lewis and Weber\"", \""duration\"": \""5 years\""}]"", ""[{\""id\"": \""b66e812b-23ae-463a-8fa2-1931d8c687c5\"", \""title\"": \""Pharmacist, hospital\"", \""company\"": \""Perez-Thompson\"", \""duration\"": \""8 years\""}]""]",2024-09-10T17:02:57.933623
